,cctvid,vdid,dist,cctv_url
38,nfbCCTV-N3-S-197.93-M,nfbVD-N3-S-197.742-M-LOOP,0.2058689700522808,http://210.241.63.120/abs2mjpg/bmjpg?camera=435
39,nfbCCTV-N3K-N-1.09-M,nfbVD-N3K-N-2-O-NE-1-德安路,0.0,"http://210.242.179.85/vStream.php?pm=210,A57,25"
40,nfbCCTV-N6-E-19.523-M,nfbVD-N6-E-19.802-M-OH,0.28422043167601724,http://210.241.63.120/abs2mjpg/bmjpg?camera=72
41,nfbCCTV-N1-S-121.355-M,nfbVD-N1-S-122.090-M-LOOP,0.41178884905540325,http://210.241.63.120/abs2mjpg/bmjpg?camera=355
42,nfbCCTV-T62-E-14.67-M,nfbVD-T62-E-14.60-M-OH,0.06605215972324523,http://117.56.12.145/T62-14K%2b670
43,nfbCCTV-N3-S-22.59-M,nfbVD-N3-S-22.588-M-LOOP,0.10672841306647848,"http://cctvn01.freeway.gov.tw/vStream.php?pm=169,A33,6"
44,nfbCCTV-N5-N-53.96-M,nfbVD-N5-N-53.065-M,2.585491684452816,http://202.39.180.202:8081/mjpeg/X01001614801101
45,nfbCCTV-N1H-S-30.65-M,nfbVD-N1-S-30.539-M-LOOP,0.1098959712406691,"http://cctvn01.freeway.gov.tw/vStream.php?pm=161,A41,20"
46,nfbCCTV-T62-W-0.56-M,nfbVD-T62-W-0.25-M-RS,0.10214951895825582,http://117.56.12.145/T62-0K%2b563
47,nfbCCTV-N1-S-32.7-M,nfbVD-N1-S-32.700-N-LOOP,0.027326958160096986,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C2,1321"
48,nfbCCTV-N1-S-303.8-M,nfbVD-N1-S-303-I-WS-1-Loop,0.05162073665028966,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=366
49,nfbCCTV-N6-E-28.663-M,nfbVD-N6-E-28.498-M-OH,0.17950150836990844,http://210.241.63.120/abs2mjpg/bmjpg?camera=88
50,nfbCCTV-N3-N-399.9-M,nfbVD-N3-N-399.998-N-Loop,0.0958019117587062,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=370
51,nfbCCTV-T62-E-3.36-M,nfbVD-T62-E-3-I-1,0.5653335468191726,http://117.56.12.145/T62-3K%2b360
52,nfbCCTV-N3-S-18.979-M,nfbVD-N3-S-18.932-M-LOOP,0.10577649805986,"http://cctvn01.freeway.gov.tw/vStream.php?pm=166,A30,12"
53,nfbCCTV-T76-E-32.04-M,nfbVD-T76-E-27.000-N-RS,3.303138434618315,http://210.241.63.120/abs2mjpg/bmjpg?camera=159
54,nfbCCTV-N1-S-203.65-M,nfbVD-N1-S-204.030-M-LOOP,0.2146895290523791,http://210.241.63.120/abs2mjpg/bmjpg?camera=229
55,nfbCCTV-N3-N-8.47-M,nfbVD-N3-N-8.520-M-LOOP,0.04886169651705334,"http://210.242.179.85/vStream.php?pm=211,A58,20"
56,nfbCCTV-N3-N-0.916-M,nfbVD-N3-N-0.970-M-LOOP,0.09977193591591225,"http://cctvn01.freeway.gov.tw/vStream.php?pm=168,A32,0"
57,nfbCCTV-N3-N-151.7-M,nfbVD-N3-N-151.610-M-LOOP,0.052108734615683605,http://210.241.63.120/abs2mjpg/bmjpg?camera=26
58,nfbCCTV-N8-W-4.3-M,nfbVD-N8-W-4.592-M-Loop,0.3172994333932996,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=400
59,nfbCCTV-N3-S-200.452-M,nfbVD-N3-S-200.582-M-LOOP,0.14092355889731167,http://210.241.63.120/abs2mjpg/bmjpg?camera=270
60,nfbCCTV-N6-W-20.138-M,nfbVD-N6-W-20.454-M-RS,0.30658044654914474,http://210.241.63.120/abs2mjpg/bmjpg?camera=105
61,nfbCCTV-N3-N-10.96-M,nfbVD-N1-N-11-I-WN-1B-汐止系統,0.05826484055426473,"http://cctvn01.freeway.gov.tw/vStream.php?pm=164,A44,12"
62,nfbCCTV-N1-S-110-M,nfbVD-N1-S-110-O-NE-22-南下出口-三灣,0.0,http://210.241.63.120/abs2mjpg/bmjpg?camera=179
63,nfbCCTV-N3-S-260.165-M,nfbVD-N3-S-260-I-WS-21-南下入口-斗六,0.1089392060259991,http://210.241.63.120/abs2mjpg/bmjpg?camera=289
64,nfbCCTV-N1-N-273.756-M,nfbVD-N1-N-274.505-M-Loop,0.38543007658532014,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=09
65,nfbCCTV-N10-W-22.902-M,nfbVD-N10-W-23.112-M-Loop,0.22656946025055175,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=314
66,nfbCCTV-N1-S-374.2-M,nfbVD-N1-S-374.200-M-RS,0.0,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=94
67,nfbCCTV-N3-N-22.22-M,nfbVD-N3-N-22.224-M-LOOP,0.03456781124225435,"http://cctvn01.freeway.gov.tw/vStream.php?pm=166,A30,26"
68,nfbCCTV-N5-N-8.009-M,nfbVD-N5-N-8.011-M,0.0022245251063981973,http://202.39.180.202:8081/mjpeg/X01001604800301
69,nfbCCTV-T84-W-17.553-M,nfbVD-T84-W-19.200-M-RS,0.5220029704553246,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=152
70,nfbCCTV-N3-N-261.22-M,nfbVD-N3-N-260-I-EN-1-北上入口,0.3921759723459886,http://210.241.63.120/abs2mjpg/bmjpg?camera=290
71,nfbCCTV-T64-W-15.1-M,nfbVD-T64-W-14-I-2,0.0890135064988878,http://117.56.12.145/T64-15K%2b109
72,nfbCCTV-N3-N-59.38-M,nfbVD-N3-N-57.997-M-LOOP,0.28801999232766345,"http://cctvn01.freeway.gov.tw/vStream.php?pm=163,A43,23"
73,nfbCCTV-N3-N-380.033-M,nfbVD-N3-N-379.790-M-Loop,0.15349457617310364,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=278
74,nfbCCTV-T62-W-12.8-M,nfbVD-T62-W-13.00-M-OH,0.043682075532850105,http://117.56.12.145/T62-12K%2b805
75,nfbCCTV-N1-S-250.3-M,nfbVD-N1-S-250-I-ES-22-南下入口-大林,0.01585537830088494,http://210.241.63.120/abs2mjpg/bmjpg?camera=399
76,nfbCCTV-N4-E-0.1-M,nfbVD-N4-E-2-O-ES-1-東向出口-沙鹿,0.32564410816572686,http://210.241.63.120/abs2mjpg/bmjpg?camera=32
77,nfbCCTV-N1-N-167-M,nfbVD-N1-N-167.250-M-LOOP,0.1308148265718278,http://210.241.63.120/abs2mjpg/bmjpg?camera=204
78,nfbCCTV-N3-N-44.73-M,nfbVD-N3-N-45.000-M-LOOP,0.3024283331519693,"http://cctvn01.freeway.gov.tw/vStream.php?pm=160,A40,29"
79,nfbCCTV-N5-N-10.88-M,nfbVD-N5-N-10.866-M-PS,0.008019129184033061,http://202.39.180.202:8081/mjpeg/X01001510111701
80,nfbCCTV-N3-N-380.633-M,nfbVD-N3-N-380.820-M-Loop,0.11127080860437209,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=281
81,nfbCCTV-T76-E-28.64-M,nfbVD-T76-E-27.000-N-RS,1.0014145364998286,http://210.241.63.120/abs2mjpg/bmjpg?camera=129
82,nfbCCTV-T64-W-3.01-M,nfbVD-T64-W-2.70-M-RS,0.2746112573607786,http://117.56.12.145/T64-3K%2b014-2
83,nfbCCTV-N1-S-33.8-M,nfbVD-N1-S-34.000-M-RS,0.23970430606369073,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C0,1331"
84,nfbCCTV-N3-S-61.7-M,nfbVD-N3-S-61.400-M-LOOP,0.21937226910256916,"http://cctvn01.freeway.gov.tw/vStream.php?pm=161,A41,4"
85,nfbCCTV-T64-E-20.51-M,nfbVD-T64-E-20-I-2,0.19759321376982789,http://117.56.12.145/T64-20K%2b517
86,nfbCCTV-N1-S-11.55-M,nfbVD-N1-S-11-I-WS-2B-汐止系統,0.03975379673362913,"http://cctvn01.freeway.gov.tw/vStream.php?pm=164,A44,6"
87,nfbCCTV-N1-N-146.59-M,nfbVD-N1-N-146.740-M-LOOP,0.08500518514258228,http://210.241.63.120/abs2mjpg/bmjpg?camera=194
88,nfbCCTV-N3-N-380.825-M,nfbVD-N3-N-380.820-M-Loop,0.002820826872459017,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=282
89,nfbCCTV-N6-E-19.882-M,nfbVD-N6-E-19.802-M-OH,0.0795506795864794,http://210.241.63.120/abs2mjpg/bmjpg?camera=74
90,nfbCCTV-N3-N-193.272-M,nfbVD-N3-N-193.088-M-LOOP,0.12491604674436613,http://210.241.63.120/abs2mjpg/bmjpg?camera=266
91,nfbCCTV-N2-W-10.4-M,nfbVD-N2-W-10.580-M-RS,0.039687936999889595,"http://cctvn01.freeway.gov.tw/vStream.php?pm=160,A40,25"
92,nfbCCTV-N1-N-315-M,nfbVD-N1-N-315.010-N-Loop,0.005192505748751541,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=50
